name,hp,average_price,age,converted_retreat_cost,pokedex_nr,type,damage,converted_energy_cost,resistance,weakness
Geodude,60,0.1,6140,2,74,5,0,0.0,80,70
Weepinbell,70,1.65,7799,1,70,7,15,1.0,70,140
Whismur,60,0.04,3487,1,293,1,0,0.0,60,120
Zoroark-GX,210,1.67,2666,2,571,2,10,1.0,230,420
Rayquaza,120,11.15,3851,3,384,3,65,2.0,120,240
Aggron-EX,180,4.3,3396,4,306,9,55,3.5,200,360
Sabrina's Drowzee,50,1.28,8620,1,96,10,10,1.0,50,100
Sabrina's Drowzee,50,1.07,8683,1,96,10,10,1.0,50,100
Solgaleo ◇,160,3.25,2302,3,791,9,80,2.0,180,320
Rayquaza & Deoxys LEGEND,140,20.07,5027,3,384,1,150,4.0,140,280
Minccino,60,0.08,2943,1,572,1,0,0.0,60,120
Fraxure,90,0.29,4572,2,611,1,25,1.5,90,90
Misdreavus,60,0.18,6232,1,200,10,10,1.0,80,70
Mewtwo-GX,190,50.24,2421,2,150,10,97,2.0,190,380
Musharna,120,0.23,1567,3,518,10,5,1.0,150,240
Miltank,100,0.06,2393,2,241,1,60,3.0,100,200
Tyranitar,170,2.42,2120,3,248,2,90,3.5,190,340
Tranquill,70,0.17,4777,1,520,1,20,1.5,90,140
Dunsparce,40,1.07,7682,1,206,1,10,1.0,40,80
Diggersby,110,0.25,3396,3,660,5,35,1.5,110,220
Electrike,60,0.23,6140,1,309,8,10,1.0,80,70
Wigglytuff,100,0.3,3760,1,40,4,30,1.5,120,200
Spiritomb C,70,0.33,5391,1,442,10,10,1.0,90,70
Vulpix,50,0.8,7296,1,37,6,5,0.5,50,100
Quagsire,120,0.14,1287,2,195,5,105,2.5,120,240
Buneary,50,0.15,5774,1,427,1,10,1.0,50,60
Black Kyurem,120,12.43,3876,3,646,3,80,3.5,120,240
Tyranitar,160,12.52,5125,3,248,2,60,2.3333333333333335,180,320
Aipom,60,0.05,2850,1,190,1,10,1.0,60,120
Audino-EX,180,2.48,2943,3,531,1,40,2.0,180,360
Spearow,40,0.39,7553,1,21,1,5,0.5,70,80
Misty's Staryu,50,0.47,8683,1,120,11,20,2.0,50,100
Nidoran ♂,40,0.37,8035,1,32,7,30,1.0,40,80
Bronzong,110,0.06,2302,3,437,9,40,2.0,130,220
Sinistea,30,0.06,1567,1,854,10,0,0.0,60,60
Cobalion,120,1.95,3851,2,638,9,50,2.5,140,240
Haunter,70,1.52,7921,1,93,10,35,2.0,100,140
Dedenne,70,0.04,2029,1,702,8,0,0.0,90,140
Ampharos ex,150,16.7,7486,3,181,8,40,3.0,180,300
Golurk,140,0.22,1665,4,623,10,100,1.5,160,280
Heatran,130,0.38,2302,3,485,9,80,2.5,150,260
Ferrothorn,100,0.18,3032,3,598,9,20,1.0,120,200
Meowstic,90,0.28,1847,1,678,10,35,1.5,90,180
Zorua,60,0.11,1938,1,570,2,0,0.0,80,120
Machamp-EX,180,12.78,3207,3,68,5,50,2.5,180,360
Zoroark-GX,210,16.11,2421,2,571,2,10,1.0,230,420
Hatterene,150,0.38,1483,2,858,10,0,0.0,180,300
Flygon,130,0.6,3571,1,330,3,35,1.5,130,260
Eevee,60,2.03,4397,1,133,1,20,1.0,60,120
Dialga-GX,180,4.17,2211,3,483,9,77,2.6666666666666665,200,360
Ursaring,110,3.44,5125,3,217,1,45,3.5,110,220
Staryu,50,1.1,6779,1,120,11,10,0.5,50,100
Liepard,80,3.16,4215,1,510,2,0,0.0,100,160
Sinistea,30,0.05,1378,1,854,10,0,0.0,60,60
Unown [V],40,1.27,8120,1,201,10,10,1.0,40,80
Skrelp,60,0.05,1665,2,690,10,0,0.0,60,120
Kyogre & Groudon LEGEND,150,15.36,5027,3,382,11,50,2.0,150,300
Dragalge,120,0.2,1665,1,691,10,20,0.5,120,240
Flabébé,30,0.09,2211,1,669,4,10,1.0,50,60
Mime Jr.,40,0.48,6232,1,439,10,0,0.0,40,50
Rufflet,60,0.04,2850,1,627,1,20,1.0,80,120
Spritzee,50,0.14,3760,1,682,4,10,1.0,70,100
Rhyhorn,70,0.51,8855,3,111,5,15,1.5,100,140
Venonat,40,0.55,8120,1,48,7,10,1.5,40,80
Voltorb,60,0.24,5682,1,100,8,10,0.5,80,70
Clefairy,60,0.14,3032,1,35,4,5,1.0,80,120
Phantump,60,0.05,1665,1,708,10,15,1.5,80,120
Slugma,60,0.08,5956,2,218,6,15,1.5,60,70
Pancham,60,0.08,3123,2,674,5,10,2.0,60,120
Scizor-GX,210,2.25,2120,1,212,9,90,2.5,230,420
Vullaby,60,0.06,1938,1,629,2,5,0.5,80,120
Wailmer,80,0.24,7553,3,320,11,25,2.5,80,160
Corphish,50,0.12,5774,1,341,11,10,1.0,50,60
Regigigas,130,5.89,3876,4,486,1,100,4.0,130,260
Murkrow,50,0.13,6048,1,198,2,0,0.0,70,60
Natu,40,0.08,2029,1,177,10,20,2.0,40,80
Trevenant,120,0.19,1665,2,709,10,70,2.0,140,240
Noctowl,90,0.16,4033,1,164,1,30,2.5,110,180
Sabrina's Mr. Mime,50,0.78,8683,1,122,10,10,1.0,50,100
Cubone,60,0.11,5774,1,104,5,15,1.5,80,70
Giratina,130,2.07,1756,1,487,10,70,3.0,150,260
Lickitung,90,0.07,3571,3,108,1,50,3.0,90,180
Pikachu,60,5.41,2666,1,25,8,15,1.5,80,120
Bouffalant,90,0.18,4777,2,626,1,25,2.5,90,180
Magearna,90,0.09,2302,1,801,9,60,3.0,110,180
Aipom,50,1.71,7799,1,190,1,10,1.0,50,100
Miltank,100,0.16,4033,3,241,1,15,1.0,100,200
Togekiss-EX,170,2.55,3032,1,468,4,35,2.5,190,340
Dratini,40,0.42,5774,1,147,1,15,1.5,40,50
Phanpy,60,0.08,6048,1,231,5,20,1.5,80,70
Toxicroak-EX,170,14.66,3669,1,454,10,40,1.5,170,340
Deoxys-EX,170,4.22,4832,2,386,10,30,2.0,170,340
Swirlix,60,0.09,3760,1,684,4,15,1.5,80,120
Espeon,90,1.82,2029,1,196,10,10,0.5,90,180
Latias,100,1.7,2666,1,380,10,30,1.0,100,200
Kadabra,70,1.76,7921,1,64,10,10,1.0,70,140
Baltoy,50,0.13,5391,1,343,10,15,1.5,50,60
Lillipup,50,0.08,4397,1,506,1,20,1.5,50,100
Squirtle,40,0.61,8855,1,7,11,5,0.5,40,80
Sandshrew,40,0.3,8855,1,27,5,10,1.0,70,80
Hitmontop,90,0.05,1287,1,237,5,25,1.5,90,180
Dialga-EX,180,64.65,3935,2,483,3,70,3.5,180,360
Jynx,60,1.26,7921,1,124,11,15,2.5,60,120
Darkrai-GX,180,2.42,2483,2,491,2,65,1.5,200,360
Braviary,120,0.04,2850,2,628,1,70,2.5,140,240
M Aggron-EX,240,7.86,3396,4,306,9,120,4.0,260,480
Clefairy,60,0.06,2575,1,35,4,5,0.5,80,120
Alcremie,110,0.18,1483,1,869,10,25,1.0,110,220
Diglett,60,0.06,1567,1,50,5,10,1.0,60,120
Mawile,70,0.12,2120,1,303,9,10,1.0,90,140
Yanma,70,0.11,5391,1,193,7,10,0.5,90,90
Rayquaza & Deoxys LEGEND,140,14.96,5027,3,384,1,150,4.0,140,280
Shaymin-EX,110,22.31,4488,1,492,7,15,1.0,130,220
Onix,90,0.18,6232,3,95,5,10,1.0,90,110
Snubbull,60,0.11,5956,1,209,1,15,1.5,60,70
M Tyranitar-EX,240,17.65,3207,4,248,2,110,4.0,260,480
Wingull,40,0.25,7553,1,278,11,0,0.0,70,80
Riolu,60,0.12,5580,1,447,5,15,1.0,60,70
Magnezone-EX,180,11.98,3669,3,462,8,20,1.0,200,360
Kingdra ex,150,19.09,7486,3,230,11,25,1.5,150,300
Gible,50,0.38,3851,1,443,3,15,1.5,50,100
Ponyta,40,0.27,8035,1,77,6,25,2.0,40,80
Girafarig,60,1.25,7682,1,203,10,20,1.0,60,120
Druddigon,100,0.44,4572,2,621,1,60,3.0,100,100
Nidoran ♂,60,0.13,6048,1,32,10,0,0.0,60,70
Darkrai-GX,180,4.75,2483,2,491,2,65,1.5,200,360
Psyduck,50,0.41,8035,1,54,11,10,1.0,50,100
Bouffalant,100,0.61,4777,2,626,1,50,3.0,100,200
Altaria ex,100,25.0,6962,1,334,1,45,2.0,100,100
Cinccino,90,0.1,2943,1,573,1,30,0.5,90,180
Sabrina's Venonat,40,0.64,8683,1,48,7,10,1.0,40,80
Zubat,50,0.3,6779,1,41,7,10,1.0,50,100
Snubbull,70,0.06,2666,1,209,4,20,1.0,90,140
Reshiram-EX,180,18.67,4488,3,643,6,100,3.5,180,360
Beldum,60,0.06,2120,2,374,9,10,1.0,80,120
Cresselia,130,0.15,1756,2,488,10,95,3.5,130,260
Pangoro,140,0.2,1938,4,675,2,115,3.5,160,280
Gabite,80,0.95,3851,1,444,3,30,1.5,80,160
Gible,50,0.18,6140,1,443,1,10,1.0,50,60
Xatu,100,0.07,2029,1,178,10,55,2.5,100,200
Mandibuzz,120,0.11,1938,2,630,2,60,1.5,140,240
Zigzagoon,40,0.3,7632,1,263,1,10,1.0,40,80
Haxorus,140,0.45,4572,2,612,1,85,2.5,140,140
Cinccino,90,0.43,4777,1,573,1,20,1.5,90,180
Arceus,120,16.8,3876,2,493,1,5,1.5,120,240
Skarmory,90,0.65,4124,1,227,9,20,1.5,110,180
Natu,40,0.22,6048,1,177,10,10,0.5,60,50
Garchomp,140,2.35,4299,1,445,3,80,1.5,140,280
Wooper,50,2.59,7799,1,194,11,5,0.5,50,100
Vulpix,50,0.77,8120,1,37,6,30,2.0,50,100
Marshadow,70,0.97,2666,1,802,10,30,2.0,90,140
Sceptile ex,150,82.5,7388,2,254,7,47,2.6666666666666665,180,300
Minccino,50,0.05,2943,1,572,1,20,1.0,50,100
Raikou & Suicune LEGEND,160,19.42,5125,1,243,8,100,3.0,160,320
Exploud,140,0.31,3487,3,295,1,45,2.0,140,280
Palkia-EX,180,79.5,3935,2,484,3,65,3.5,180,360
Sabrina's Slowpoke,50,0.59,8683,1,79,10,30,2.0,50,100
Clefable,100,0.08,2575,1,36,4,40,2.0,120,200
Probopass,110,0.74,3396,3,476,9,40,2.0,130,220
Suicune ex,100,146.0,7388,2,245,11,25,1.5,100,200
Dugtrio,90,0.08,1567,1,51,5,60,1.0,90,180
Ponyta,60,0.12,6232,1,77,6,20,1.5,60,70
Skarmory,80,0.19,4215,2,227,9,35,2.0,100,160
Indeedee,100,0.04,1483,1,876,10,15,1.0,130,200
Cacturne,100,0.08,3123,1,332,2,35,2.0,120,200
Floette,70,0.14,2211,1,670,4,0,0.0,90,140
Mimikyu,70,0.15,1665,1,778,10,0,0.0,70,70
Giratina-EX,170,36.39,3207,3,487,3,100,4.0,170,340
Gligar,60,1.53,7682,1,207,5,10,1.5,60,120
Klink,60,0.08,4124,2,599,9,10,1.0,80,120
Zigzagoon,40,0.24,7553,1,263,1,10,1.0,40,80
Lickilicky,120,0.1,3571,4,463,1,55,3.5,120,240
Diglett,50,0.05,1378,1,50,5,20,1.0,50,100
Thundurus-EX,170,2.73,4832,1,642,8,60,2.5,170,340
Staravia,80,0.04,2393,1,397,1,40,2.0,100,160
Loudred,90,0.1,3487,2,294,1,30,2.5,90,180
Chatot,70,0.1,4397,1,441,1,20,1.5,90,140
Marshadow & Machamp-GX,270,7.52,1847,3,68,5,130,2.6666666666666665,270,540
Pikachu,50,1.75,8035,1,25,8,20,2.0,50,100
Clefable,100,0.43,3032,1,36,4,40,2.0,120,200
Aromatisse,90,1.63,3760,2,683,4,60,3.0,110,180
Oricorio-GX,170,1.59,1665,1,741,10,90,3.0,190,340
Hawlucha,80,0.48,3123,1,701,5,30,1.5,100,160
Weedle,50,0.21,6779,1,13,7,10,1.0,50,100
Dugtrio,90,0.09,1378,1,51,5,50,1.5,90,180
Flabébé,40,0.17,2211,1,669,4,0,0.0,60,80
Gastly,50,1.94,7682,1,92,10,0,0.0,80,100
Scizor,120,1.87,4215,2,212,9,70,2.5,140,240
Audino,90,0.12,4649,2,531,1,20,0.5,90,180
Piplup,60,0.21,6232,1,393,11,15,1.0,60,70
Sandshrew,70,0.17,1847,1,27,5,15,1.5,70,140
Larvitar,70,0.09,1378,1,246,5,15,1.5,70,140
Latias ex,90,30.43,7486,2,380,1,55,2.0,120,180
Raikou & Suicune LEGEND,160,16.21,5125,1,243,8,100,3.0,160,320
Minccino,60,0.08,4649,1,572,1,30,1.0,60,120
Regigigas,130,1.1,3487,4,486,1,90,3.5,130,260
Sabrina's Gastly,40,2.58,8620,1,92,10,30,2.0,70,40
Fletchling,40,0.06,2850,1,661,1,20,1.0,60,80
Kricketot,60,0.08,6140,2,401,7,5,0.5,60,70
Solrock,70,0.13,5956,1,338,5,20,1.0,70,90
Regirock,130,0.45,1287,3,377,5,85,2.5,130,260
Shuppet,50,0.09,5580,1,353,10,15,0.5,70,60
Latios,110,1.28,2666,1,381,10,50,2.5,110,220
Pidgey,50,0.51,6048,1,16,1,10,1.0,70,60
Absol,80,24.38,4950,1,359,2,70,2.0,100,160
Swablu,40,0.13,5956,1,333,1,5,1.0,60,50
Malamar,100,0.11,2483,1,687,2,45,2.0,120,200
Morelull,60,0.05,2302,1,755,4,5,0.5,80,120
Cinccino,90,0.12,4649,1,573,1,15,1.0,90,180
Florges,120,0.66,2211,2,671,4,70,3.0,140,240
Skitty,60,0.2,5580,1,300,1,10,0.5,60,70
Excadrill,110,2.95,3396,3,530,9,25,1.5,130,220
Lugia-EX,170,104.39,3207,2,249,1,50,3.0,190,340
Fletchinder,70,0.06,2850,1,662,1,30,1.0,90,140
Hoopa-EX,140,5.77,3876,2,720,10,50,1.5,140,280
Psyduck,60,0.68,6048,1,54,11,5,0.5,60,70
Ralts,60,0.11,2483,1,280,4,10,1.0,80,120
Tangela,70,0.12,5956,2,114,7,10,1.0,70,80
Cutiefly,30,0.04,2666,1,742,4,10,1.0,50,60
Tyranitar,180,0.4,1378,4,248,5,185,3.5,180,360
Electrode,90,9.24,4950,1,101,8,30,2.0,110,180
Rufflet,60,0.08,4649,1,627,1,15,1.5,80,120
Rhyhorn,70,0.22,8035,3,111,5,15,1.5,100,140
Hoopa-GX,190,2.29,1938,3,720,2,53,1.0,210,380
Roselia,70,0.19,6232,1,315,7,5,1.0,70,80
Exeggcute,50,0.11,5774,1,102,10,5,0.5,50,60
Aromatisse,90,0.3,3032,1,683,4,30,1.5,110,180
Dragapult V,210,1.5,1483,1,887,10,45,1.5,240,420
Magcargo ex,100,42.44,7486,3,219,6,30,2.0,100,200
Silvally-GX,210,2.15,2666,2,773,1,85,3.0,210,420
Doublade,80,0.1,3396,2,680,9,30,1.5,100,160
Zoroark,100,1.35,3123,2,571,2,10,2.0,120,200
Slaking,150,1.32,3571,4,289,1,85,3.5,150,300
Staravia,80,0.18,4033,1,397,1,30,2.0,100,160
Muk ex,100,11.16,7486,2,89,7,25,2.0,100,200
Primal Kyogre-EX,240,63.75,3207,4,382,11,150,4.0,240,480
Haxorus,140,4.04,4397,3,612,1,70,3.5,140,140
Flygon,140,3.54,4215,1,330,3,80,4.0,140,280
Chinchou,50,0.76,7799,1,170,8,5,1.0,50,100
Haunter,70,2.68,7682,1,93,10,20,2.5,100,140
Ampharos,140,4.61,5216,2,181,8,40,3.0,160,280
Rufflet,60,0.2,4649,1,627,1,20,1.5,80,120
Dragapult VMAX,320,2.34,1483,1,887,10,95,1.5,350,640
Unown,60,0.48,2029,1,201,10,10,1.0,60,120
Zygarde,150,0.38,1287,4,718,5,55,2.0,150,300
Patrat,60,0.06,3571,1,504,1,0,0.0,60,120
Zweilous,80,0.3,4299,2,634,3,55,2.5,80,160
Cubone,40,0.81,7799,1,104,5,5,0.5,70,80
Marshadow,70,0.39,2666,1,802,10,20,1.0,90,140
Vibrava,80,0.08,1378,1,329,5,20,1.0,80,160
Pikachu,60,12.97,3876,1,25,8,15,1.5,80,120
Seel,60,0.65,8035,1,86,11,10,1.0,60,120
Rhyhorn,90,0.05,1567,2,111,5,35,1.5,90,180
Wash Rotom,90,5.76,2666,1,479,11,0,0.0,90,180
Goomy,50,0.08,2575,1,704,3,10,1.0,50,100
Gloom,70,0.24,5774,1,44,7,10,0.5,70,90
Dragonite,160,1.81,2666,4,149,3,165,3.5,160,320
Watchog,80,0.18,3571,1,505,1,15,1.0,80,160
Rhydon,120,0.1,1567,4,112,5,75,3.5,120,240
Graveler,110,0.16,1847,4,75,5,70,3.5,110,220
Sentret,60,0.21,6048,1,161,1,5,0.5,60,70
Tauros,70,0.16,5580,1,128,1,10,0.5,70,80
Ponyta,60,39.0,5314,1,77,6,50,2.0,60,70
Medicham ex,110,15.66,6962,1,308,5,30,1.5,110,220
Yveltal,130,1.57,3123,2,717,2,60,3.0,150,260
Charmander,50,33.24,7486,1,4,6,10,1.5,50,100
Vulpix,50,0.49,8855,1,37,6,10,2.0,50,100
Dialga,100,27.5,4852,3,483,9,70,4.0,120,200
Flygon,150,0.24,1378,1,330,5,130,3.0,150,300
Bunnelby,70,0.05,2393,2,659,1,30,2.0,70,140
Chatot,60,0.16,5391,1,441,1,15,1.0,80,70
Charmeleon,90,3.49,3013,2,5,6,40,1.5,90,180
Houndour,50,1.51,7682,1,228,6,15,1.0,50,100
Torchic,60,0.12,5580,1,255,6,10,0.5,60,70
Lunala,160,1.21,1665,2,792,10,130,3.0,180,320
Shinx,50,31.0,5314,1,403,8,10,1.0,70,60
Goomy,40,0.15,2211,1,704,3,10,1.0,40,80
Chandelure,130,69.97,4488,2,609,10,50,3.0,130,260
Meganium,150,5.19,5216,2,154,7,80,4.0,170,300
Paras,60,0.13,6140,1,46,7,15,1.5,60,70
Sneasel,60,0.1,6232,1,215,2,5,0.5,80,70
Deoxys ex,110,63.53,7051,2,386,10,50,3.0,110,220
Gible,60,0.02,2302,1,443,3,20,2.0,60,120
Volbeat,70,0.15,5956,1,313,7,20,2.0,70,90
Rocket's Articuno ex,100,25.0,7143,1,144,2,30,2.0,100,200
Virizion,110,12.63,4572,1,640,7,20,1.0,130,220
Crawdaunt ex,110,26.63,6597,2,342,11,20,2.0,110,220
Entei,90,79.98,4852,2,244,6,70,3.0,90,180
Charmeleon,70,54.49,7486,1,5,6,25,1.5,70,140
Drampa,120,0.2,2575,2,780,3,40,1.5,120,240
Kangaskhan,130,0.58,2666,3,115,1,40,2.5,130,260
Flareon-EX,170,14.96,3013,2,136,6,50,3.0,170,340
Meditite,70,0.03,1483,1,307,5,10,1.0,70,140
Solgaleo,160,1.17,2120,3,791,9,130,3.0,180,320
Absol ex,100,16.24,6320,1,359,2,30,2.0,130,200
Starmie,60,0.5,8855,1,121,11,10,1.5,60,120
Cottonee,50,0.05,2575,1,546,4,10,1.0,70,100
Bellsprout,40,0.86,7799,1,69,7,5,0.5,40,80
Inkay,60,0.07,2483,1,686,2,10,1.0,80,120
Kangaskhan-EX,180,8.46,3669,3,115,1,35,1.5,180,360
Zoroark,120,0.42,2666,2,571,2,75,2.5,140,240
Unown,60,0.45,2029,1,201,10,10,1.0,60,120
Riolu,70,0.04,1287,1,447,5,30,1.0,70,140
Spritzee,50,0.08,3032,1,682,4,10,1.0,70,100
Aggron ex,150,13.35,6505,4,306,9,50,2.0,180,300
Pupitar,80,0.12,1378,3,247,5,30,2.0,80,160
Beldum,70,0.08,2120,3,374,9,50,2.0,90,140
Kecleon,70,0.9,4033,1,352,1,0,0.0,70,140
Klang,80,0.14,4124,2,600,9,25,2.0,100,160
Munna,60,0.09,1756,1,517,10,0,0.0,60,120
Beldum,50,0.08,5391,2,374,9,5,0.5,70,60
Garchomp,140,5.34,3851,1,445,3,80,1.5,140,280
Hitmonlee,120,0.14,1567,1,106,5,60,2.5,120,240
Celebi,60,12.08,4950,1,251,7,30,3.0,60,120
Growlithe,50,1.25,7682,1,58,6,15,1.5,50,100
Stoutland,130,0.52,4397,3,508,1,50,3.5,130,260
Bidoof,60,0.12,5391,2,399,1,20,1.0,60,70
Fletchling,50,0.03,3487,1,661,1,10,1.5,70,100
Dusknoir,130,20.0,3935,3,477,10,60,4.0,130,260
Shiinotic,100,0.33,2302,2,756,4,30,2.0,120,200
Blaziken ex,150,23.83,6505,2,257,5,65,3.0,150,300
Raichu-GX,210,2.71,2666,1,26,8,100,2.6666666666666665,230,420
M Blaziken-EX,210,20.69,3876,2,257,6,100,4.0,210,420
Vigoroth,90,0.12,3571,2,288,1,45,2.0,90,180
Buizel,50,0.06,5391,1,418,11,15,1.5,50,60
M Charizard-EX,220,78.54,3669,1,6,6,300,5.0,220,440
Venonat,40,0.56,8855,1,48,7,10,1.5,40,80
Bulbasaur,60,0.32,5391,1,1,7,15,1.5,60,70
Terrakion,140,0.13,1287,4,639,5,55,2.5,140,280
Incineroar-GX,250,1.77,1938,3,727,2,70,3.0,270,500
Tapu Fini,120,3.21,2666,2,788,11,45,2.5,120,240
Slakoth,50,0.14,5580,1,287,1,5,0.5,50,60
Ribombee,60,0.6,2666,1,743,4,30,1.0,80,120
Zweilous,80,0.24,3851,2,634,3,55,2.5,80,160
Tapu Lele,110,0.41,2302,1,786,4,10,0.5,130,220
Durant,70,0.12,4124,1,632,9,30,2.5,90,140
Genesect,100,3.99,4832,2,649,7,45,3.0,100,200
Magikarp,30,0.22,6140,1,129,11,35,1.5,30,40
Sandshrew,40,0.89,8035,1,27,5,10,1.0,70,80
Blissey,130,4.47,5216,2,242,1,60,3.0,130,260
Tornadus-EX,170,5.26,4397,1,641,1,65,2.5,190,340
Dragonair,90,0.15,2666,2,148,3,30,1.5,90,180
Doduo,70,0.07,3760,1,84,1,30,3.0,90,140
Staraptor,130,0.81,4033,1,398,1,30,1.5,150,260
Braviary,100,0.95,4649,1,628,1,65,2.5,120,200
Tapu Fini-GX,170,21.15,1735,1,788,11,7,0.3333333333333333,170,170
Chikorita,50,1.35,3013,1,152,7,10,1.0,50,100
Gardevoir-GX,230,4.5,2483,2,282,4,15,0.5,250,460
Treecko,50,0.31,5956,1,252,7,15,1.5,70,60
Inkay,50,0.09,3123,1,686,2,10,2.0,70,100
Bagon,50,25.0,5314,1,371,1,40,1.0,50,60
Deoxys ex,100,82.88,7051,1,386,10,10,2.0,100,200
Spearow,60,0.03,2666,1,21,1,10,1.0,80,120
Doduo,40,1.34,7799,1,84,1,10,1.0,70,80
Bronzor,50,0.09,1938,1,436,9,20,2.0,70,100
Honedge,50,0.06,1756,1,679,10,10,0.5,70,100
Tapu Koko-GX,170,22.14,1735,2,785,8,90,3.0,170,170
Skorupi,60,0.19,6232,2,451,10,5,1.0,60,70
Feraligatr,140,6.17,5216,3,160,11,60,4.0,140,280
Black Kyurem-EX,180,5.47,3851,3,646,3,105,3.5,180,360
Jirachi ex,90,20.41,6505,1,385,10,40,2.5,90,90
Nidoran ♀,50,0.17,6140,1,29,10,10,1.0,50,60
Pupitar,70,1.19,7921,1,247,5,20,1.0,70,140
Nosepass,80,0.03,1483,3,299,5,30,2.0,80,160
Kyogre ex,100,8.05,6505,2,382,11,0,0.0,100,200
Charizard,160,10.45,3013,3,6,6,65,2.0,160,320
Milotic ex,130,47.82,6962,2,350,11,50,2.0,130,260
White Kyurem,130,0.74,4215,2,646,3,50,3.0,130,260
Azumarill,90,0.45,3396,2,184,4,45,2.5,110,180
Tauros,110,0.45,3760,2,128,1,30,2.0,110,220
Bronzor,60,0.05,3123,2,436,9,10,2.0,80,120
Lycanroc,120,0.19,1287,2,745,5,55,1.5,120,240
Druddigon,110,0.8,4124,1,621,3,55,3.0,110,220
Azumarill,100,4.23,3396,2,184,4,65,2.5,120,200
Goomy,50,0.06,2211,2,704,3,10,1.5,50,100
Shellos East Sea,60,0.16,6048,2,422,11,5,0.5,60,70
Mew ex,90,96.83,6597,1,151,10,40,2.5,90,180
Mudbray,80,0.03,1287,2,749,5,35,2.0,80,160
Excadrill,100,0.6,3396,2,530,9,40,2.0,120,200
Skarmory,100,0.26,4215,2,227,9,35,1.5,120,200
Exeggcute,30,44.99,3935,1,102,7,20,2.0,50,60
Eevee,50,0.36,3571,1,133,1,10,2.0,50,100
Bunnelby,60,0.05,3487,1,659,1,20,2.0,60,120
Drakloak,90,0.06,1483,1,886,10,20,1.0,120,180
Herdier,80,0.21,4397,2,507,1,15,1.0,80,160
Klink,40,0.23,4215,2,599,9,30,2.0,60,80
Slurpuff,90,0.59,3760,2,685,4,30,2.0,110,180
Zorua,60,0.13,3123,1,570,2,15,1.0,80,120
Lugia-EX,180,8.23,4832,2,249,1,120,4.0,200,360
Swampert ex,150,29.4,7388,3,260,5,10,0.5,150,300
Kyurem-EX,180,15.63,4488,3,646,11,90,3.5,180,360
Latios ex,100,43.64,7486,2,381,1,55,2.0,130,200
Chansey,100,0.63,7799,2,113,1,25,2.0,100,200
Larvitar,50,0.14,6140,1,246,5,15,1.5,70,60
Suicune & Entei LEGEND,160,11.96,5125,1,244,11,40,1.5,160,320
Diggersby,100,0.34,3487,2,660,1,55,2.5,100,200
Dhelmise,130,0.09,1665,3,781,10,50,1.5,150,260
Togepi,50,0.11,5956,1,175,1,0,0.0,50,60
Xerneas,130,0.38,3760,2,716,4,50,1.5,150,260
Suicune & Entei LEGEND,160,11.06,5125,1,244,11,40,1.5,160,320
Qwilfish,70,0.19,6048,1,211,11,20,2.0,70,90
Diglett,50,0.08,1847,1,50,5,10,1.0,50,100
Magby,40,0.17,6140,1,240,6,0,0.0,40,50
Unown,60,0.69,2029,1,201,10,10,1.0,60,120
Arceus LV.X,120,22.8,5314,1,493,1,100,3.0,120,120
Honedge,60,0.07,3396,2,679,9,0,0.0,80,120
Regigigas,180,0.81,2393,4,486,1,160,5.0,180,360
Sylveon,90,1.67,2211,1,700,4,20,1.0,110,180
Magmar,60,1.18,7921,1,126,6,20,2.5,60,120
Zorua,60,0.19,3123,1,570,2,15,1.0,80,120
Hitmonchan,120,0.07,1567,1,107,5,40,1.5,120,240
Deino,60,0.11,4299,2,633,3,15,1.0,60,120
Hawlucha,80,0.14,2850,1,701,1,20,2.0,100,160
Minccino,60,0.05,2393,1,572,1,10,1.0,60,120
Rhyhorn,100,0.07,1567,3,111,5,20,1.5,100,200
Dedenne,60,0.22,2211,1,702,4,15,1.0,80,120
Furfrou,90,0.09,3487,1,676,1,35,2.5,90,180
Elgyem,60,0.13,1756,1,605,10,10,1.0,60,120
Dreepy,60,0.04,1483,1,885,10,10,1.0,90,120
Golbat,70,8.74,7682,1,42,7,15,1.5,70,140
Cinccino,90,0.05,2943,1,573,1,15,1.0,90,180
Giratina-EX,180,9.52,4299,3,487,3,110,3.5,180,360
Drifloon,50,0.14,5774,1,425,10,15,1.5,70,60
Arceus LV.X,120,12.56,5314,1,493,1,100,3.0,120,120
Sandslash,110,0.32,1847,1,28,5,60,2.0,110,220
Virizion,110,63.47,3935,1,640,7,20,1.0,130,220
Rhyhorn,60,0.13,6232,2,111,5,20,1.5,80,70
Mimikyu,70,0.4,1665,1,778,10,20,2.0,70,70
Staryu,40,0.22,8855,1,120,11,20,1.0,40,80
Granbull,110,0.1,2666,2,210,4,40,2.0,130,220
Machoke,80,1.35,7921,1,67,5,35,2.5,80,160
Cacturne ex,110,22.25,6962,1,332,7,35,2.0,110,220
Sabrina's Porygon,40,1.01,8620,1,137,1,15,1.5,70,80
Granbull,80,1.03,7682,1,210,1,35,3.0,80,160
Slakoth,60,0.05,3571,3,287,1,0,0.0,60,120
Starly,60,0.1,4033,1,396,1,10,1.0,80,120
Chinchou,50,0.52,7799,1,170,11,10,1.0,50,100
Camerupt ex,120,24.85,6962,2,323,6,45,2.5,120,240
Klinklang,140,1.47,4124,3,601,9,70,3.0,160,280
Skuntank G,80,0.44,5580,2,435,10,20,2.0,80,160
Porygon-Z,130,9.95,4832,1,474,1,50,3.0,130,260
Metang,90,0.25,2120,3,375,9,20,1.0,110,180
